                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.5132,                0.66101,                 1.1675,                0.96773,                0.96469,                0.98674,                0.54344,                 1.5883,                 0.6048,                 1.1755,              0.0099139,              0.0099139,              0.0099139
                     90,                 1.5118,                0.66211,                 1.1505,                0.95913,                0.96053,                0.98477,                0.54102,                 1.5893,                0.60077,                 1.1788,              0.0099129,              0.0099129,              0.0099129
                     91,                 1.5095,                0.65853,                 1.1471,                0.96601,                0.95805,                0.98155,                0.54226,                 1.5987,                0.59364,                 1.1859,              0.0099119,              0.0099119,              0.0099119
                     92,                 1.5012,                0.65724,                 1.1516,                 0.9659,                0.95026,                0.98293,                 0.5372,                 1.5946,                0.60924,                 1.1837,              0.0099109,              0.0099109,              0.0099109
                     93,                  1.501,                0.65063,                 1.1549,                0.96663,                0.95153,                 0.9839,                 0.5382,                 1.6013,                0.60449,                 1.1921,              0.0099099,              0.0099099,              0.0099099
                     94,                 1.4966,                 0.6505,                 1.1533,                0.96488,                0.95876,                0.98596,                0.54189,                 1.5843,                0.59269,                 1.1852,              0.0099089,              0.0099089,              0.0099089
                     95,                 1.5073,                0.65192,                 1.1521,                0.96235,                 0.9616,                0.98444,                0.54177,                 1.5929,                0.60197,                 1.1798,              0.0099079,              0.0099079,              0.0099079
                     96,                 1.5102,                0.66877,                 1.1551,                0.96314,                0.95429,                0.98346,                0.54337,                 1.5833,                0.60021,                 1.1803,              0.0099069,              0.0099069,              0.0099069
                     97,                 1.5016,                0.65533,                 1.1508,                0.96463,                0.95907,                0.98411,                0.54147,                 1.5807,                0.59466,                 1.1821,               0.009906,               0.009906,               0.009906
                     98,                 1.4869,                0.65627,                 1.1435,                0.97039,                0.95444,                0.98664,                0.54242,                 1.5822,                0.59158,                 1.1768,               0.009905,               0.009905,               0.009905
                     99,                 1.5052,                0.66078,                 1.1454,                0.96438,                0.95615,                 0.9815,                0.53305,                 1.5921,                0.60108,                 1.1815,               0.009904,               0.009904,               0.009904
                    100,                 1.4965,                0.65577,                 1.1525,                0.96928,                0.95562,                0.98328,                0.53953,                 1.5965,                0.59557,                  1.183,               0.009903,               0.009903,               0.009903
                    101,                 1.4984,                0.64612,                 1.1485,                0.96671,                 0.9613,                0.98474,                0.53447,                 1.5977,                0.58802,                 1.1888,               0.009902,               0.009902,               0.009902
                    102,                 1.4909,                0.64471,                 1.1417,                0.96464,                0.96237,                0.98582,                0.53783,                 1.5923,                0.59119,                 1.1905,               0.009901,               0.009901,               0.009901
                    103,                    1.5,                0.64637,                 1.1417,                0.96908,                0.96311,                0.98391,                0.54337,                 1.5879,                0.59091,                  1.176,                 0.0099,                 0.0099,                 0.0099
                    104,                 1.4867,                0.64867,                 1.1436,                0.96416,                0.96427,                0.98651,                0.54299,                 1.5849,                0.58433,                 1.1724,               0.009899,               0.009899,               0.009899
                    105,                 1.4985,                0.64553,                 1.1424,                0.96461,                0.95943,                0.98212,                0.53722,                 1.5923,                0.59301,                 1.1879,               0.009898,               0.009898,               0.009898
                    106,                  1.488,                0.64687,                 1.1474,                 0.9632,                0.95488,                 0.9817,                 0.5339,                 1.5925,                0.59722,                 1.1839,               0.009897,               0.009897,               0.009897
                    107,                 1.4782,                0.64769,                 1.1337,                0.96345,                0.95992,                0.98436,                0.54585,                 1.5816,                0.58646,                 1.1711,              0.0098961,              0.0098961,              0.0098961
                    108,                 1.4942,                0.63979,                 1.1472,                0.96402,                0.95987,                 0.9855,                0.54117,                 1.5912,                0.58901,                 1.1808,              0.0098951,              0.0098951,              0.0098951
                    109,                 1.4837,                0.64161,                 1.1433,                0.96468,                0.96625,                0.98227,                0.53706,                 1.5922,                0.58718,                 1.1859,              0.0098941,              0.0098941,              0.0098941
                    110,                 1.4718,                0.64206,                 1.1311,                0.97066,                0.95655,                0.98425,                0.53813,                 1.5857,                 0.5856,                 1.1723,              0.0098931,              0.0098931,              0.0098931
                    111,                  1.475,                0.63538,                 1.1414,                0.97031,                 0.9581,                0.98292,                0.54146,                 1.5871,                0.58257,                 1.1749,              0.0098921,              0.0098921,              0.0098921
                    112,                 1.4732,                 0.6412,                 1.1362,                0.96615,                0.96092,                0.98279,                0.54003,                 1.5928,                0.58715,                 1.1745,              0.0098911,              0.0098911,              0.0098911
                    113,                 1.4729,                 0.6343,                 1.1388,                0.96652,                0.96224,                 0.9874,                0.54914,                 1.5726,                0.57995,                 1.1751,              0.0098901,              0.0098901,              0.0098901
                    114,                 1.4826,                0.64411,                 1.1429,                0.96577,                 0.9611,                0.98392,                0.54633,                 1.5843,                0.58728,                 1.1766,              0.0098891,              0.0098891,              0.0098891
                    115,                 1.4775,                0.63162,                 1.1424,                0.96057,                0.96716,                0.98271,                0.54831,                 1.5779,                0.57913,                 1.1757,              0.0098881,              0.0098881,              0.0098881
                    116,                 1.4744,                0.64115,                 1.1384,                0.95819,                0.96432,                0.98222,                0.54573,                 1.5794,                0.57843,                 1.1787,              0.0098871,              0.0098871,              0.0098871
                    117,                 1.4665,                0.62689,                 1.1263,                 0.9692,                0.95963,                0.98528,                0.54534,                 1.5816,                0.57686,                 1.1762,              0.0098861,              0.0098861,              0.0098861
                    118,                 1.4573,                0.63301,                 1.1267,                0.96883,                0.95989,                0.98335,                0.54572,                 1.5854,                0.57731,                 1.1719,              0.0098852,              0.0098852,              0.0098852
                    119,                 1.4633,                0.63004,                 1.1322,                0.96424,                0.96406,                0.98784,                0.54241,                 1.5857,                 0.5757,                 1.1805,              0.0098842,              0.0098842,              0.0098842
                    120,                 1.4649,                0.63473,                 1.1363,                0.96892,                0.95703,                0.98527,                 0.5433,                 1.5793,                0.57645,                 1.1812,              0.0098832,              0.0098832,              0.0098832
                    121,                 1.4675,                0.63827,                  1.125,                0.96504,                0.96475,                0.98569,                0.54357,                 1.5909,                0.57692,                 1.1775,              0.0098822,              0.0098822,              0.0098822
                    122,                 1.4536,                0.62585,                 1.1259,                0.96955,                0.95896,                0.98513,                0.54247,                 1.5835,                0.58031,                  1.175,              0.0098812,              0.0098812,              0.0098812
                    123,                 1.4581,                0.63122,                 1.1166,                0.96802,                0.96412,                0.98565,                0.54589,                 1.5841,                0.57986,                 1.1725,              0.0098802,              0.0098802,              0.0098802
                    124,                 1.4678,                0.63306,                 1.1179,                 0.9736,                0.95519,                0.98563,                 0.5381,                 1.5967,                0.57398,                 1.1776,              0.0098792,              0.0098792,              0.0098792
                    125,                 1.4667,                0.63369,                 1.1318,                0.96102,                0.97104,                0.98571,                0.54175,                  1.585,                0.57467,                 1.1739,              0.0098782,              0.0098782,              0.0098782
                    126,                 1.4578,                  0.622,                 1.1261,                0.96428,                0.96708,                0.98579,                0.54634,                 1.5878,                  0.571,                 1.1804,              0.0098772,              0.0098772,              0.0098772
                    127,                 1.4483,                0.62842,                 1.1406,                0.96869,                0.96587,                0.98593,                 0.5453,                 1.5836,                0.57188,                 1.1835,              0.0098763,              0.0098763,              0.0098763
                    128,                 1.4453,                0.62167,                 1.1219,                0.97353,                0.95946,                0.98455,                 0.5386,                 1.5899,                0.57298,                 1.1902,              0.0098753,              0.0098753,              0.0098753
                    129,                 1.4588,                0.63051,                 1.1347,                0.96105,                0.97091,                0.98914,                0.55073,                 1.5782,                0.56876,                   1.19,              0.0098743,              0.0098743,              0.0098743
                    130,                 1.4591,                0.63246,                 1.1272,                   0.97,                0.96368,                0.98779,                0.54737,                 1.5733,                0.57523,                 1.1809,              0.0098733,              0.0098733,              0.0098733
                    131,                  1.467,                  0.637,                 1.1269,                0.96247,                0.96941,                0.98693,                0.55293,                 1.5747,                 0.5676,                 1.1794,              0.0098723,              0.0098723,              0.0098723
                    132,                 1.4462,                0.63064,                 1.1225,                0.96508,                0.97259,                0.98744,                0.54785,                 1.5762,                0.56774,                 1.1774,              0.0098713,              0.0098713,              0.0098713
                    133,                 1.4413,                0.62627,                  1.124,                0.96839,                0.95542,                0.98293,                0.54094,                   1.58,                0.57113,                 1.1815,              0.0098703,              0.0098703,              0.0098703
                    134,                 1.4401,                0.61893,                 1.1283,                 0.9724,                0.96316,                0.98967,                0.54689,                 1.5786,                0.56664,                 1.1845,              0.0098693,              0.0098693,              0.0098693
                    135,                 1.4466,                0.62241,                 1.1291,                0.96412,                0.96469,                0.98419,                0.54281,                 1.5762,                 0.5691,                 1.1788,              0.0098683,              0.0098683,              0.0098683
                    136,                 1.4366,                0.62337,                 1.1221,                0.96623,                0.96931,                 0.9849,                0.54398,                 1.5808,                0.56505,                 1.1857,              0.0098673,              0.0098673,              0.0098673
                    137,                 1.4513,                0.62465,                 1.1286,                0.96734,                0.96594,                0.98111,                0.54546,                 1.5748,                0.56872,                 1.1768,              0.0098664,              0.0098664,              0.0098664
                    138,                 1.4379,                0.62473,                 1.1271,                0.96719,                0.97097,                0.98219,                0.54327,                 1.5748,                0.56723,                 1.1866,              0.0098654,              0.0098654,              0.0098654
                    139,                 1.4319,                0.61647,                 1.1282,                0.97092,                0.96271,                0.98372,                0.54559,                 1.5766,                0.56781,                 1.1893,              0.0098644,              0.0098644,              0.0098644
                    140,                 1.4374,                0.61869,                 1.1281,                0.96193,                0.97064,                0.98428,                0.54499,                 1.5745,                0.57114,                 1.1864,              0.0098634,              0.0098634,              0.0098634
                    141,                 1.4482,                0.62712,                 1.1249,                0.96418,                0.96777,                0.98272,                0.54138,                 1.5815,                0.57099,                 1.1922,              0.0098624,              0.0098624,              0.0098624
                    142,                 1.4329,                0.61827,                 1.1257,                  0.972,                0.96261,                0.98168,                0.53993,                 1.5778,                0.56664,                 1.1837,              0.0098614,              0.0098614,              0.0098614
                    143,                 1.4293,                0.61688,                 1.1337,                0.96583,                0.96881,                0.98709,                0.54416,                 1.5762,                0.56207,                 1.1789,              0.0098604,              0.0098604,              0.0098604
                    144,                 1.4267,                 0.6176,                 1.1178,                0.97092,                0.96186,                0.98714,                0.54808,                 1.5701,                0.56062,                 1.1761,              0.0098594,              0.0098594,              0.0098594
                    145,                 1.4381,                0.62035,                 1.1232,                0.97101,                 0.9593,                0.98307,                 0.5455,                  1.574,                0.56766,                 1.1793,              0.0098584,              0.0098584,              0.0098584
                    146,                 1.4365,                0.61139,                 1.1207,                0.96435,                0.96716,                0.98386,                0.54719,                 1.5747,                0.56031,                 1.1806,              0.0098574,              0.0098574,              0.0098574
                    147,                 1.4316,                0.61762,                 1.1192,                0.96761,                0.96657,                0.98679,                0.55047,                 1.5683,                0.56118,                 1.1794,              0.0098565,              0.0098565,              0.0098565
                    148,                 1.4221,                0.60789,                 1.1138,                 0.9653,                0.96645,                0.98673,                0.54787,                  1.567,                0.55939,                 1.1783,              0.0098555,              0.0098555,              0.0098555
                    149,                 1.4302,                 0.6145,                 1.1208,                  0.971,                0.96101,                0.98355,                0.54695,                 1.5687,                0.55961,                 1.1744,              0.0098545,              0.0098545,              0.0098545
                    150,                 1.4224,                0.60877,                 1.1093,                0.96592,                0.96625,                0.98535,                0.54482,                  1.572,                0.55985,                 1.1758,              0.0098535,              0.0098535,              0.0098535
                    151,                 1.4191,                0.60742,                 1.1169,                0.96743,                0.96777,                0.98506,                 0.5489,                 1.5731,                0.56135,                 1.1825,              0.0098525,              0.0098525,              0.0098525
                    152,                 1.4242,                0.61389,                 1.1173,                0.96236,                0.96782,                 0.9819,                0.54755,                 1.5797,                0.56112,                 1.1816,              0.0098515,              0.0098515,              0.0098515
